fig_club,gesgolf_club,circolo_id,match_score,scrape_status,playable_courses,warning_courses,failed_courses,output,action
Panorama Golf,PANORAMA GOLF,765,100,error,0,0,1,,scrape_failed
Paradiso,PARADISO,357,100,error,0,0,1,,scrape_failed
Parco Firenze,PARCO FIRENZE,300,100,error,0,0,1,,scrape_failed
Parco Roma,PARCO ROMA,783,100,error,0,0,1,,scrape_failed
Passiria Merano,PASSIRIA MERANO,689,100,error,0,0,1,,scrape_failed
Pavoniere,PAVONIERE,703,100,error,0,0,1,,scrape_failed
Perugia,PERUGIA,30,100,error,0,0,1,,scrape_failed
Petersberg,PETERSBERG,97,100,error,0,0,1,,scrape_failed
Pevero,PEVERO,31,100,error,0,0,1,,scrape_failed
Piandisole 2025,PIANDISOLE 2025,849,100,error,0,0,1,,scrape_failed
Pinerolo - Pragelato,PINEROLO - PRAGELATO,410,100,error,0,0,1,,scrape_failed
Pinetina,PINETINA,20,100,error,0,0,1,,scrape_failed
Poggio Medici,POGGIO MEDICI,153,100,error,0,0,1,,scrape_failed
Ponte Legno,PONTE LEGNO,64,100,error,0,0,1,,scrape_failed
Pordenone,PORDENONE,86,100,error,0,0,1,,scrape_failed
Primule,PRIMULE,405,100,error,0,0,1,,scrape_failed
Puntaldia,PUNTALDIA,129,100,error,0,0,1,,scrape_failed
Pustertal,PUSTERTAL,756,100,error,0,0,1,,scrape_failed
Rapallo,RAPALLO,34,100,error,0,0,1,,scrape_failed
Rendena,RENDENA,170,100,error,0,0,1,,scrape_failed
Rimini Verucchio,RIMINI VERUCCHIO,723,100,error,0,0,1,,scrape_failed
Riva Toscana,RIVA TOSCANA,816,100,error,0,0,1,,scrape_failed
Riviera Golf,RIVIERA GOLF,776,100,error,0,0,1,,scrape_failed
Robinie,ROBINIE,182,100,warning,6,2,0,data/gesgolf/normalized/robinie/circolo-182.json,scraped
Roma Acquasanta,ROMA ACQUASANTA,36,100,warning,5,1,0,data/gesgolf/normalized/roma-acquasanta/circolo-36.json,scraped
