fig_club,gesgolf_club,gesgolf_circolo_id,match_score,search_query
Continental Verbania,CONTINENTAL VERBANIA,741,100,continental verbania
Cortina Ssd,CORTINA SSD,845,100,cortina
Cosmopolitan,,,,cosmopolitan
Courmayeur,COURMAYEUR,14,100,courmayeur
Croara Ssd,CROARA SSD,855,100,croara
Cus Ferrara,CUS FERRARA,133,100,ferrara
Des Iles Borromees,DES ILES BORROMEES,480,100,des iles
Dolomiti,DOLOMITI,140,100,dolomiti
Druento,DRUENTO,340,100,druento
Ducato,DUCATO,700,100,ducato
Faenza Cicogne,FAENZA CICOGNE,166,100,cicogne
Fioranello,FIORANELLO,745,100,fioranello
Firenze Ugolino,FIRENZE UGOLINO,15,100,ugolino
Fiuggi 1928,,,,fiuggi 1928
Florinas,,,,florinas
Folgaria,FOLGARIA,79,100,folgaria
Fonti,FONTI,285,100,fonti
Forte Marmi,,,,forte marmi
Franciacorta,FRANCIACORTA,69,100,franciacorta
Frassanelle,FRASSANELLE,88,100,frassanelle
Fronde,FRONDE,23,100,fronde
Gardagolf,GARDAGOLF,67,100,gardagolf
Garlenda,GARLENDA,17,100,garlenda
Ggz - Zerman,,,,ggz zerman
Girasoli,GIRASOLI,161,100,girasoli
Globale Jesolo,GLOBALE JESOLO,823,100,globale jesolo
Grado,GRADO,238,100,grado
Green Club Lainate,GREEN CLUB LAINATE,102,100,lainate
Gressoney,GRESSONEY,715,100,gressoney
Hermitage,,,,hermitage
Is Arenas,IS ARENAS,283,100,is arenas
Is Molas Ssd,IS MOLAS SSD,814,100,is molas
Laghi,LAGHI,777,100,laghi
Lamborghini,LAMBORGHINI,155,100,lamborghini
Lana,LANA,256,100,lana
Lanzo,LANZO,19,100,lanzo
Lauri,,,,lauri
Lecco,LECCO,56,100,lecco
Lignano Ssd,LIGNANO SSD,841,100,lignano
Livorno,,,,livorno
Madonna Campiglio,MADONNA CAMPIGLIO,10,100,campiglio
Mantova,MANTOVA,720,100,mantova
Marco Simone,MARCO SIMONE,621,100,marco simone
Mare Di Roma,,,25,roma
Margara,MARGARA,50,100,margara
Margherita,MARGHERITA,91,100,margherita
Marigola,,,,marigola
Marina Velka,,,,marina velka
Menaggio,MENAGGIO,25,100,menaggio
Metaponto,,,,metaponto
