fig_club,gesgolf_club,circolo_id,ges_route_name,suggested_fig_course_name,suggested_fig_source_external_id,suggested_relation,suggested_confidence,ges_route_status,ges_route_anomalies,protected_live,import_bucket,import_reason
Borgo Camuzzago,BORGO CAMUZZAGO,434,CamuzzaIron3,18 buche,fig-course-borgo-camuzzago-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Bormio Ssd,BORMIO SSD,825,BORMIO,18 Buche,fig-course-bormio-ssd-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Bormio Ssd,BORMIO SSD,825,Bormio9,9 Buche,fig-course-bormio-ssd-9-buche,base_route,low,safe,,no,needs_review,confidence_too_low
Bormio Ssd,BORMIO SSD,825,BormioP-9,9 buche Par 31,fig-course-bormio-ssd-9-buche-par-31,base_route,low,safe,,no,needs_review,confidence_too_low
Bormio Ssd,BORMIO SSD,825,BormioP-18,18 buche Par 62,fig-course-bormio-ssd-18-buche-par-62,playable_course,low,safe,,no,needs_review,confidence_too_low
Boves,BOVES,660,Prime Nove,Prime Nove,fig-course-boves-prime-nove,base_route,high,safe,,no,import_ready,all_checks_passed
Boves,BOVES,660,18 Buche,18 Buche,fig-course-boves-18-buche,playable_course,high,safe,,no,import_ready,all_checks_passed
Boves,BOVES,660,Prime nove 18,18 Buche,fig-course-boves-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Boves,BOVES,660,Seconde Nove,Seconde Nove,fig-course-boves-seconde-nove,base_route,high,safe,,no,import_ready,all_checks_passed
Boves,BOVES,660,Seconde nove 18,18 Buche,fig-course-boves-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Boves,BOVES,660,18 buche a tre,18 Buche,fig-course-boves-18-buche,playable_course,medium,safe,,no,needs_review,confidence_too_low
Boves,BOVES,660,9 + 9 misto,18 Buche,fig-course-boves-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Boves,BOVES,660,Provvisiorio 18,18 Buche,fig-course-boves-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Brianza,BRIANZA,117,Gare,18 Buche,fig-course-brianza-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
